STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VQ160245,MYBVQ1602457,SARAWAKHIDRO IMTN 4.56% 10.08.2029,16-OCT-2020,3.089,3.042,2.995,111.273,111.658,112.044,7.286,62.926,.014,.014,.014,-.118,-.118,-.118,2
VR160244,MYBVR1602448,SARAWAKHIDRO IMTN 4.61% 09.08.2030,16-OCT-2020,3.202,3.15,3.098,111.773,112.239,112.707,7.939,75.258,.019,.019,.019,-.173,-.173,-.174,1.7
VS160243,MYBVS1602438,SARAWAKHIDRO IMTN 4.67% 11.08.2031,16-OCT-2020,3.308,3.256,3.204,112.298,112.803,113.31,8.564,88.313,.021,.021,.021,-.206,-.207,-.209,1.7
VL160255,MYBVL1602557,LDF3 IMTN 4.940% 23.08.2024,16-OCT-2020,3.724,3.642,3.56,104.322,104.621,104.922,3.476,14.457,.009,.009,.009,-.035,-.036,-.037,0
VM160256,MYBVM1602563,LDF3 IMTN 5.040% 22.08.2025,16-OCT-2020,3.85,3.768,3.686,105.213,105.585,105.958,4.268,21.617,.01,.01,.01,-.048,-.048,-.048,0
VN160257,MYBVN1602579,LDF3 IMTN 5.140% 21.08.2026,16-OCT-2020,3.99,3.908,3.826,105.939,106.379,106.821,5.016,29.85,.007,.007,.007,-.04,-.04,-.04,0
VO160258,MYBVO1602585,LDF3 IMTN 5.240% 23.08.2027,16-OCT-2020,4.122,4.04,3.958,106.609,107.115,107.623,5.729,39.101,.001,.001,.001,-.009,-.009,-.009,0
VP160259,MYBVP1602590,LDF3 IMTN 5.340% 23.08.2028,16-OCT-2020,4.226,4.149,4.072,107.373,107.906,108.443,6.396,49.09,-.001,-.001,-.001,.005,.004,.004,1.3
VQ160260,MYBVQ1602606,LDF3 IMTN 5.440% 23.08.2029,16-OCT-2020,4.319,4.242,4.165,108.168,108.759,109.353,7.024,59.74,-.001,-.001,-.001,.005,.005,.005,1.7
VR160261,MYBVR1602612,LDF3 IMTN 5.540% 23.08.2030,16-OCT-2020,4.415,4.333,4.251,108.903,109.59,110.282,7.613,70.912,0,0,0,-.002,-.002,-.002,0
