STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN200267,MYBVN2002670,SMS IMTN 4.530% 21.10.2030,5-Nov-20,4.454,4.379,4.304,100.604,101.206,101.813,7.949,75.665,0.031,0.031,0.031,-0.249,-0.251,-0.253,0
VO200266,MYBVO2002660,SMS IMTN 4.630% 21.10.2031,5-Nov-20,4.54,4.475,4.41,100.768,101.329,101.894,8.528,88.035,0.011,0.021,0.031,-0.095,-0.183,-0.271,2.7
VP200265,MYBVP2002659,SMS IMTN 4.730% 21.10.2032,5-Nov-20,4.65,4.575,4.5,100.726,101.414,102.107,9.066,100.69,0.016,0.016,0.016,-0.146,-0.147,-0.15,0
VQ200264,MYBVQ2002640,SMS IMTN 4.830% 21.10.2033,5-Nov-20,4.751,4.676,4.601,100.756,101.482,102.215,9.565,113.505,0.012,0.012,0.012,-0.116,-0.117,-0.118,0
VR200263,MYBVR2002630,SMS IMTN 4.930% 20.10.2034,5-Nov-20,4.843,4.778,4.713,100.873,101.533,102.199,10.023,126.304,0.002,0.012,0.022,-0.02,-0.123,-0.227,2.3
VS200262,MYBVS2002620,SMS IMTN 5.030% 19.10.2035,5-Nov-20,4.957,4.882,4.807,100.762,101.555,102.356,10.443,139.017,0.012,0.012,0.012,-0.127,-0.128,-0.13,0
VT200261,MYBVT2002610,SMS IMTN 5.130% 21.10.2036,5-Nov-20,5.052,4.977,4.902,100.845,101.669,102.501,10.838,151.789,0.011,0.011,0.011,-0.121,-0.122,-0.124,0
VU200260,MYBVU2002600,SMS IMTN 5.230% 21.10.2037,5-Nov-20,5.151,5.076,5.001,100.884,101.735,102.595,11.191,164.164,0.012,0.012,0.012,-0.136,-0.137,-0.139,0
VV200259,MYBVV2002590,SMS IMTN 5.330% 21.10.2038,5-Nov-20,5.249,5.174,5.099,100.932,101.808,102.694,11.511,176.207,0.012,0.012,0.012,-0.14,-0.141,-0.143,0
VI200215,MYBVI2002159,IMTIAZ II IMTN 2.970% 07.10.2025,5-Nov-20,3.046,3.014,2.982,99.654,99.799,99.944,4.535,23.689,0.05,0.049,0.048,-0.226,-0.222,-0.219,2.3
VK200216,MYBVK2002163,IMTIAZ II IMTN 3.200% 07.10.2027,5-Nov-20,3.295,3.263,3.231,99.415,99.611,99.807,6.145,43.34,0.07,0.069,0.068,-0.429,-0.424,-0.42,2
VI200223,MYBVI2002233,BPMB IMTN 2.800% 10.10.2025,5-Nov-20,2.883,2.835,2.787,99.62,99.839,100.058,4.564,23.928,0.08,0.08,0.08,-0.365,-0.366,-0.368,0
VK200224,MYBVK2002247,BPMB IMTN 3.000% 12.10.2027,5-Nov-20,3.094,3.056,3.018,99.416,99.651,99.887,6.204,43.972,0.09,0.09,0.09,-0.558,-0.56,-0.561,2
VN200225,MYBVN2002258,BPMB IMTN 3.180% 11.10.2030,5-Nov-20,3.236,3.188,3.14,99.526,99.931,100.338,8.44,82.367,0.052,0.052,0.052,-0.439,-0.441,-0.443,0
VE200230,MYBVE2002307,PLNG2 IMTN 2.030% 21.10.2021 - Tranche No 1,5-Nov-20,2.125,2.077,2.029,99.91,99.955,100.001,0.944,1.361,0.049,0.049,0.049,-0.046,-0.047,-0.046,0
